Season,PlayerName,MatchesPlayed,Successful tackles
All Seasons,Prashant Chavan,41,50
All Seasons,Vinod Kumar,27,48
All Seasons,Sachin Kumar,46,48
All Seasons,Manoj Kumar,52,48
All Seasons,Meraj Sheykh,94,48
All Seasons,Vishal,25,46
All Seasons,Rakesh Singh Kumar,49,46
All Seasons,Darshan J.,29,45
All Seasons,Kashiling Adake,92,44
All Seasons,Rishank Devadiga,116,44
All Seasons,Saurabh Nandal,18,42
All Seasons,Sachin Khambe,22,40
All Seasons,D. Gopu,34,40
All Seasons,Santhapanaselvam,32,40
All Seasons,Manjeet,41,40
All Seasons,Nitin Rawal,44,39
All Seasons,Narender,28,37
All Seasons,Rohit Kumar,89,37
All Seasons,Kuldeep Singh,20,37
All Seasons,Vikas Jaglan,46,35
All Seasons,Sombir,30,35
All Seasons,Vinod Kumar,45,35
All Seasons,Shyam Kumar Sah,27,34
All Seasons,Pankaj,21,33
All Seasons,Satpal,22,32
All Seasons,Mohsen Maghsoudloujafari,45,32
All Seasons,Pawan Kumar Sehrawat,75,31
All Seasons,More GB,44,31
All Seasons,D. Pradap,29,31
All Seasons,Manish,40,30
All Seasons,Ziaur Rahman,34,30
All Seasons,Preetam Chhillar,58,30
All Seasons,Sunil Jaipal,38,29
All Seasons,Viraj Vishnu Landge,34,29
All Seasons,Ashu Singh,17,29
All Seasons,Mahipal Narwal,34,28
All Seasons,Vijin Thangadurai,51,27
All Seasons,Rohit Baliyan,67,27
All Seasons,Sachin Tanwar,63,26
All Seasons,Amit,31,25
All Seasons,Parmod Narwal,35,25
All Seasons,Jasvir Singh,77,25
All Seasons,Gurpreet Singh,18,25
All Seasons,Wasim Sajjad,17,24
All Seasons,Sachin Vittala,26,24
All Seasons,Vikash,19,24
All Seasons,Sidharth,21,24
All Seasons,Mayur Shivtarkar,29,24
All Seasons,Shubham Shinde,23,24
All Seasons,Jadhav Balasaheb Shahaji,17,24
All Seasons,Parveen,25,23
All Seasons,Mohammad Esmaeil Nabibakhsh,19,23
All Seasons,Manoj Dhull,27,23
All Seasons,Raju Lal Choudhary,23,23
All Seasons,Akshay Jadhav,29,22
All Seasons,Vineet Sharma,40,22
All Seasons,Hadi Tajik,28,21
All Seasons,Ajay Thakur,115,21
All Seasons,Mahesh Goud,65,21
All Seasons,Swapnil Dilip Shinde,21,21
All Seasons,Navneet Gautam,31,20
All Seasons,Jang Kun Lee,103,20
All Seasons,Somvir,16,20
All Seasons,Rahul Kumar,30,20
All Seasons,Amit Kumar,17,20
All Seasons,Anil Kumar,19,19
All Seasons,Monu Goyat,68,19
All Seasons,Kalimuthu Balamahendran,23,19
All Seasons,Nitin More,22,19
All Seasons,Vijendar Singh,8,19
All Seasons,Wazir Singh,47,18
All Seasons,Gangadhari Mallesh,36,18
All Seasons,Nitin Tomar,65,18
All Seasons,Ponparthiban Subramanian,17,18
All Seasons,Amit Kumar,18,17
All Seasons,Young Chang Ko,37,17
All Seasons,Gurvinder Singh,45,17
All Seasons,Shrikant Jadhav,71,17
All Seasons,Shabeer Bappu,74,16
All Seasons,Samarjeet Singh,22,16
All Seasons,Sandeep,14,16
All Seasons,Krushna Madane,15,16
All Seasons,Harendra Kumar,16,16
All Seasons,Sanket Chavan,13,15
All Seasons,S Mahalingam,11,14
All Seasons,Deepak Kumar Rathee,20,14
All Seasons,Sagar Khatale,12,14
All Seasons,Ram Kumar Sah,11,14
All Seasons,Jitesh Joshi,19,14
All Seasons,Dadaso Balaso Awad,12,14
All Seasons,Naveen,34,14
All Seasons,Sumit Malik,14,14
All Seasons,Ajeet,14,13
All Seasons,Sukesh Hegde,96,13
All Seasons,Mahendra Ganesh Rajput,62,13
All Seasons,Deepak Narwal,81,12
All Seasons,Surjeet Narwal,31,12
All Seasons,Nilesh Salunke,79,12
All Seasons,Adarsh T,19,12
All Seasons,Ankit,12,11
All Seasons,Rohit Gulia,56,11
All Seasons,Rupesh Tomar,15,11
All Seasons,Bhupender Singh,47,11
All Seasons,Amit Kumar,11,11
All Seasons,Deepak Dhull,10,11
All Seasons,G.S. Manikandan,20,10
All Seasons,Yogesh Hooda,21,10
All Seasons,Seong Ryeol Kim,15,10
All Seasons,Jeeva Gopal,24,10
All Seasons,N. Renjith,11,10
All Seasons,Tapas Pal,7,10
All Seasons,Yatharth Deshwal,6,10
All Seasons,Mohit Sehrawat,13,10
All Seasons,Pavan T. R.,15,10
All Seasons,Vikash Kandola,49,9
All Seasons,Vinod Kumar,29,9
All Seasons,Ravinder Kumar,12,9
All Seasons,Rajesh Mondal,89,9
All Seasons,Surender Singh,48,9
All Seasons,Vijender Singh,8,9
All Seasons,Santhosh B.S,9,8
All Seasons,CPO Surjeet Singh,48,8
All Seasons,Maninder Singh,78,8
All Seasons,Chandran Ranjit,59,8
All Seasons,Saeid Ghaffari,9,8
All Seasons,Darshan Kadian,38,8
All Seasons,Anil Kumar,6,8
All Seasons,Vijay Kumar,21,8
All Seasons,Sagar,9,8
All Seasons,Ankit,13,8
All Seasons,Sanket Sawant,5,7
All Seasons,Abhishek Singh,31,7
All Seasons,Surender Gill,14,7
All Seasons,Deepak Yadav,7,7
All Seasons,Abolfazl Maghsodloumahali,47,7
All Seasons,Umesh Mhatre,13,7
All Seasons,Ravindra Ramesh Kumawat,18,7
All Seasons,Sumit Singh,32,7
All Seasons,Tae Deok Eom,35,7
All Seasons,Harvinder Singh,4,7
All Seasons,Deepak Kumar,7,7
All Seasons,Deepak Kumar Dahiya,53,7
All Seasons,Prashanth Kumar Rai,92,6
All Seasons,K. Prapanjan,81,6
All Seasons,Pardeep Narwal,104,6
All Seasons,Ravi Dalal,38,6
All Seasons,Amit Nagar,12,6
All Seasons,Selvamani K,55,6
All Seasons,Siddharth Sirish Desai,39,6
All Seasons,Ajay,16,6
All Seasons,Naveen Kumar,40,6
All Seasons,M. Abishek,5,6
All Seasons,Lalit Chaudhary,7,5
All Seasons,Vikash,4,5
All Seasons,Gurvinder Singh,5,5
All Seasons,Rakesh Gowda,9,5
All Seasons,Jagdeesha K.K.,7,5
All Seasons,Manpreet Singh,13,5
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,5
All Seasons,Nitin Madane,37,5
All Seasons,Varinder Singh,8,5
All Seasons,T. Prasad,9,5
All Seasons,Parveen M. Jangra,6,5
All Seasons,Suresu Kumar,21,4
All Seasons,Vikas Tomar,9,4
All Seasons,Rajeev Kumar,3,4
All Seasons,Amit Om Prakash Rathi,16,4
All Seasons,Isac Antony,9,4
All Seasons,Tushar Patil,53,4
All Seasons,Ashish Chhokar,12,4
All Seasons,Vikas Kumar,14,4
All Seasons,Parvesh,6,4
All Seasons,C Manoj Kumar,12,4
All Seasons,Anuj Kumar,7,4
All Seasons,Sudhanshu Tyagi,13,4
All Seasons,Chand Singh,7,4
All Seasons,Vinay,17,4
All Seasons,Pankaj Mohite,16,3
All Seasons,Sonu Jaglan,13,3
All Seasons,Banty,11,3
All Seasons,Ajinkya Ashok Pawar,31,3
All Seasons,Kamal Singh,11,3
All Seasons,Elavarasan A,3,3
All Seasons,Satish,10,3
All Seasons,Muruthu M,3,3
All Seasons,E Subash,4,3
All Seasons,Rohit Kumar Choudary,38,3
All Seasons,Gurchet Singh,4,3
All Seasons,Pawan Kumar Kadian,74,2
All Seasons,Anoop E.V.,3,2
All Seasons,Aman Kumar,4,2
All Seasons,Rakesh Narwal,25,2
All Seasons,Parveen Kumar,8,2
All Seasons,Pravin Niwale,17,2
All Seasons,Punit Kumar Teotia,4,2
All Seasons,Gokul Shitole,4,2
All Seasons,Sunil Hanumanthappa,5,2
All Seasons,Ehsan Zamani Fard,8,2
All Seasons,Simon Kibura,9,2
All Seasons,Babu M,2,2
All Seasons,Sandeep,5,2
All Seasons,Elangeshwaran R,5,2
All Seasons,M. Thivakaran,9,2
All Seasons,Lokesh Kaushik,7,2
All Seasons,Prateek,6,2
All Seasons,Gurdeep,2,2
All Seasons,Arjun Deshwal,19,2
All Seasons,Rakshith,17,2
All Seasons,Tushar Balaram Bhoir,10,2
All Seasons,Kuldeep,5,2
All Seasons,Sushil Vijay Bhosle,2,2
All Seasons,Shashank Wankhede,5,2
All Seasons,Anil Shriram Nimbolkar,6,2
All Seasons,Amit Kumar Tomar,9,2
All Seasons,Azad Singh,13,2
All Seasons,Ravinder,5,2
All Seasons,Satywan,1,1
All Seasons,Aashish Nagar,3,1
All Seasons,Sushil Gulia,7,1
All Seasons,Aman,2,1
All Seasons,Sachin Narwal,11,1
All Seasons,Ankush,3,1
All Seasons,Ankit Beniwal,6,1
All Seasons,Vikram Kandola,3,1
All Seasons,Armaan,10,1
All Seasons,Naveen Narwal,3,1
All Seasons,Amit Kumar,5,1
All Seasons,Gnanasekaran M,8,1
All Seasons,Ravinandan G.M.,1,1
All Seasons,Navjot Singh,1,1
All Seasons,Nirbhay Narwal,2,1
All Seasons,Hardeep Duhan,1,1
All Seasons,Sanju,4,1
All Seasons,Virender Wazir Singh,7,1
All Seasons,Ajay Kumar,50,1
All Seasons,Mohammad Taghi Paein Mahali,3,1
All Seasons,Vishnu Uthaman,3,1
All Seasons,Athul MS,37,1
All Seasons,Ajay Singh,1,1
All Seasons,Amit Kharb,9,1
All Seasons,Victor Onyango Obiero,6,1
All Seasons,Rajnish,14,1
All Seasons,Sanoj Kumar,2,1
All Seasons,Anand Surendra Tomar,5,1
All Seasons,Ajvender Singh,2,1
All Seasons,N. Shiva Ramakrishna,1,1
All Seasons,Rahul Choudhary,5,1
All Seasons,Rohit Kumar,7,1
All Seasons,R. Sriram,15,1
All Seasons,Farhad Kamal Gharibi,2,1
All Seasons,Takamitsu Kono,1,1
All Seasons,Sinotharan Kanesharajah,3,1
All Seasons,Atif Waheed,3,1
All Seasons,Wajid Ali,4,1
All Seasons,Nithesh B R,2,1
All Seasons,Suraj Desai,12,1
All Seasons,Sandeep Malik,1,1
All Seasons,Mohammad Maghshoudulu,18,1
All Seasons,Adinath Sakharam Gavali,1,1
All Seasons,Sanjay Kumar,8,1
All Seasons,Ravit Kumar,3,1
All Seasons,Hyunil Park,2,1
All Seasons,Jishnu,3,1
All Seasons,Amit Kumar,1,1
All Seasons,Sunil Subhash Lande,4,1
All Seasons,Rohit Kumar Prajapat,3,1
All Seasons,Kedar Lal,10,1
All Seasons,Pradeep Kumar,10,1
All Seasons,Mangesh Bhagat,8,1
Season 7,Sandeep Kumar Dhull,20,58
Season 7,Sumit,17,58
Season 7,Fazel Atrachali,18,54
Season 7,Vishal Bhardwaj,18,51
Season 7,Baldev Singh,19,51
Season 7,Ravinder Pahal,18,49
Season 7,Rinku Narwal,19,49
Season 7,Neeraj Kumar,19,47
Season 7,PO Surjeet Singh,19,46
Season 7,Jaideep,19,45
Season 7,Surinder Singh,18,43
Season 7,Saurabh Nandal,18,42
Season 7,Sunil,15,41
Season 7,Amit Sheoran,19,40
Season 7,Sunil Kumar,18,40
Season 7,Joginder Singh Narwal,18,40
Season 7,Mahender Singh,16,39
Season 7,Nitesh Kumar,17,38
Season 7,Parvesh Bhainswal,18,38
Season 7,Sandeep Narwal,18,37
Season 7,Manjeet Chhillar,15,35
Season 7,Abozar Mohajermighani,18,35
Season 7,Mohit Chhillar,17,34
Season 7,Vikas Kale,16,34
Season 7,Amit Hooda,14,33
Season 7,Dharmaraj Cheralathan,15,33
Season 7,Vishal,14,33
Season 7,Jeeva Kumar,18,30
Season 7,Ravi Kumar,15,30
Season 7,Hadi Oshtorak,19,29
Season 7,Ashu Singh,17,29
Season 7,Girish Maruti Ernak,14,28
Season 7,Ran Singh,17,26
Season 7,Manjeet,19,26
Season 7,Jadhav Balasaheb Shahaji,17,24
Season 7,Vishal Mane,18,23
Season 7,Anil Kumar,14,23
Season 7,Farhad Rahimi Milaghardan,18,23
Season 7,Mohammad Esmaeil Nabibakhsh,19,23
Season 7,Amit,17,20
Season 7,More GB,16,19
Season 7,Monu,19,18
Season 7,Amit Kumar,12,17
Season 7,Harendra Kumar,16,16
Season 7,Pankaj,7,16
Season 7,Vikas Jaglan,19,16
Season 7,C. Arun,18,16
Season 7,Hadi Tajik,12,15
Season 7,Shubham Shinde,13,15
Season 7,Nitin Rawal,14,15
Season 7,Sumit Malik,14,14
Season 7,Ajeet,14,13
Season 7,Pawan Kumar Sehrawat,19,13
Season 7,Santhapanaselvam,8,13
Season 7,Sagar B Krishna,11,11
Season 7,Ankit,12,11
Season 7,Vijay,17,11
Season 7,Ruturaj Shivaji Koravi,13,10
Season 7,Mohit Sehrawat,13,10
Season 7,Pavan T. R.,15,10
Season 7,Deepak Niwas Hooda,20,10
Season 7,Amit Kumar,9,8
Season 7,Saeid Ghaffari,9,8
Season 7,Sagar,9,8
Season 7,Kuldeep Singh,9,8
Season 7,Viraj Vishnu Landge,8,7
Season 7,Surender Gill,14,7
Season 7,Sanket Sawant,5,7
Season 7,Rahul Chaudhari,18,7
Season 7,Shabeer Bappu,14,6
Season 7,Vineet Sharma,10,6
Season 7,M. Abishek,5,6
Season 7,Sunil Siddhgavali,14,6
Season 7,Ankit,7,5
Season 7,Krushna Madane,8,5
Season 7,Jawahar Dagar,7,5
Season 7,Rakesh Gowda,9,5
Season 7,Rohit Gulia,18,5
Season 7,Mohammad Esmaeil Maghsoudlou Mahalli,17,5
Season 7,Mayur Shivtarkar,6,4
Season 7,Young Chang Ko,10,4
Season 7,Vikash Kandola,14,4
Season 7,Rohit Kumar,17,4
Season 7,Vinay,17,4
Season 7,Chand Singh,7,4
Season 7,Vijay Kumar,9,4
Season 7,Siddharth Sirish Desai,18,3
Season 7,Banty,11,3
Season 7,Sonu Jaglan,13,3
Season 7,Parveen,6,3
Season 7,Adarsh T,9,3
Season 7,Elavarasan A,3,3
Season 7,Pankaj Mohite,16,3
Season 7,Nitin Tomar,12,3
Season 7,Rohit Baliyan,15,3
Season 7,Ashish Kumar,7,3
Season 7,Sachin Kumar,12,3
Season 7,Shrikant Jadhav,17,3
Season 7,Chandran Ranjit,17,3
Season 7,Rajaguru Subramanian,5,2
Season 7,K. Prapanjan,18,2
Season 7,Selvamani K,6,2
Season 7,Nilesh Salunke,17,2
Season 7,Sumit Singh,15,2
Season 7,Monu Goyat,9,2
Season 7,Mohsen Maghsoudloujafari,10,2
Season 7,Ponparthiban Subramanian,5,2
Season 7,Ravinder,5,2
Season 7,Gurdeep,2,2
Season 7,Arjun Deshwal,16,2
Season 7,Ajay,9,2
Season 7,Naveen,13,2
Season 7,Naveen Kumar,18,2
Season 7,Lalit Chaudhary,4,2
Season 7,Kamal Singh,3,2
Season 7,Ankush,3,1
Season 7,Ankit Beniwal,5,1
Season 7,Rajnish,10,1
Season 7,Victor Onyango Obiero,3,1
Season 7,Abhishek Singh,16,1
Season 7,Vinod Kumar,7,1
Season 7,Sachin Tanwar,16,1
Season 7,Sushil Gulia,7,1
Season 7,Aman,2,1
Season 7,Sachin Narwal,11,1
Season 7,Satywan,1,1
Season 7,Naveen Narwal,3,1
Season 7,Amit Kumar,5,1
Season 7,Mohammad Taghi Paein Mahali,3,1
Season 7,Ravindra Ramesh Kumawat,2,1
Season 7,Sombir,7,1
Season 7,Darshan Kadian,6,1
Season 7,Deepak Narwal,17,1
Season 7,Meraj Sheykh,12,1
Season 7,Surender Singh,4,1
Season 7,Rishank Devadiga,13,1
Season 7,Jang Kun Lee,13,1
Season 7,Sukesh Hegde,12,1
Season 7,Suraj Desai,12,1
Season 6,Nitesh Kumar,25,92
Season 6,Parvesh Bhainswal,25,82
Season 6,Fazel Atrachali,23,80
Season 6,Sunil Kumar,25,72
Season 6,Mahender Singh,24,62
Season 6,Sandeep Kumar Dhull,22,62
Season 6,Surender Singh,22,59
Season 6,Jaideep,22,56
Season 6,Ravinder Pahal,22,56
Season 6,Manjeet Chhillar,19,54
Season 6,Girish Maruti Ernak,20,52
Season 6,PO Surjeet Singh,23,52
Season 6,Vishal Bhardwaj,17,51
Season 6,Abozar Mohajermighani,21,48
Season 6,Joginder Singh Narwal,22,47
Season 6,Amit Hooda,18,45
Season 6,Kuldeep Singh,22,45
Season 6,Ruturaj Shivaji Koravi,23,44
Season 6,Ran Singh,22,41
Season 6,Sunil,22,41
Season 6,Sachin Kumar,25,39
Season 6,Ashish Kumar,24,37
Season 6,Rohit Rana,19,37
Season 6,Dharmaraj Cheralathan,22,37
Season 6,Narender,25,37
Season 6,Amit Sheoran,15,36
Season 6,Jeeva Kumar,19,36
Season 6,Vishal Mane,22,36
Season 6,Vikas Kale,22,36
Season 6,Sandeep Narwal,18,34
Season 6,Ravi Kumar,22,33
Season 6,Sunil Siddhgavali,16,30
Season 6,Mohit Chhillar,14,28
Season 6,Anil Kumar,18,25
Season 6,Mohsen Maghsoudloujafari,19,25
Season 6,Vinod Kumar,17,25
Season 6,Baldev Singh,18,24
Season 6,Sachin Vittala,22,24
Season 6,Sachin Shingade,19,23
Season 6,Farhad Rahimi Milaghardan,22,21
Season 6,Raju Lal Choudhary,16,20
Season 6,Parveen,19,20
Season 6,Amit Kumar,17,20
Season 6,Mayur Shivtarkar,18,19
Season 6,Rinku Narwal,15,19
Season 6,Jawahar Dagar,15,17
Season 6,Sagar B Krishna,20,17
Season 6,Vikas Jaglan,14,16
Season 6,Ponparthiban Subramanian,12,16
Season 6,Kashiling Adake,20,15
Season 6,Manjeet,22,14
Season 6,Manish,17,13
Season 6,Rajesh Narwal,16,13
Season 6,Sandeep,10,13
Season 6,Rohit Baliyan,19,13
Season 6,Hadi Oshtorak,13,12
Season 6,Sunil,11,12
Season 6,Anup Kumar,13,12
Season 6,Vijay,21,12
Season 6,Sachin Tanwar,23,12
Season 6,Akshay Jadhav,18,12
Season 6,Ziaur Rahman,18,12
Season 6,D. Pradap,13,12
Season 6,Santhapanaselvam,14,12
Season 6,Naveen,21,12
Season 6,Young Chang Ko,13,11
Season 6,Deepak Niwas Hooda,22,11
Season 6,Krushna Madane,6,11
Season 6,Pawan Kumar Sehrawat,24,11
Season 6,Rajaguru Subramanian,8,10
Season 6,Shrikant Tewthia,8,10
Season 6,More GB,22,10
Season 6,Satpal,12,10
Season 6,Monu,14,10
Season 6,Rohit Kumar,24,9
Season 6,Shubham Shinde,10,9
Season 6,Adarsh T,10,9
Season 6,Kuldeep Singh,7,8
Season 6,Vijin Thangadurai,16,8
Season 6,C. Arun,16,8
Season 6,Mahesh Goud,10,8
Season 6,Anil Kumar,4,8
Season 6,Ravinder Kumar,8,8
Season 6,Vishal,6,7
Season 6,Viraj Vishnu Landge,7,6
Season 6,Abhishek Singh,15,6
Season 6,Anil Kumar,5,6
Season 6,Amit Nagar,9,6
Season 6,Darshan J.,9,6
Season 6,Rahul Chaudhari,21,6
Season 6,D. Gopu,5,5
Season 6,Yogesh Hooda,6,5
Season 6,Ravindra Ramesh Kumawat,12,5
Season 6,Vikash Kandola,22,5
Season 6,Amit,14,5
Season 6,Nitin Rawal,9,5
Season 6,Parvesh,6,4
Season 6,C Manoj Kumar,12,4
Season 6,Naveen Kumar,22,4
Season 6,Sudhanshu Tyagi,13,4
Season 6,Anuj Kumar,7,4
Season 6,Ajay,7,4
Season 6,Monu Goyat,20,4
Season 6,Sumit Singh,8,4
Season 6,Deepak Narwal,17,4
Season 6,Nilesh Salunke,19,4
Season 6,Rishank Devadiga,23,4
Season 6,Shrikant Jadhav,25,4
Season 6,Jasmer Singh Gulia,6,4
Season 6,Jasvir Singh,16,4
Season 6,Chandran Ranjit,24,4
Season 6,Meraj Sheykh,19,3
Season 6,Selvamani K,15,3
Season 6,Manoj Dhull,8,3
Season 6,Amit Kumar,2,3
Season 6,Rohit Gulia,19,3
Season 6,Siddharth Sirish Desai,21,3
Season 6,Lalit Chaudhary,3,3
Season 6,Ankit,6,3
Season 6,Ajinkya Ashok Pawar,17,3
Season 6,Azad Singh,9,2
Season 6,Sandeep,5,2
Season 6,Lokesh Kaushik,6,2
Season 6,Prateek,6,2
Season 6,Deepak Kumar Dahiya,11,2
Season 6,Nitin Tomar,11,2
Season 6,Abolfazl Maghsodloumahali,10,2
Season 6,Bhupender Singh,4,2
Season 6,Jang Kun Lee,18,2
Season 6,Sukesh Hegde,17,2
Season 6,Prashanth Kumar Rai,21,2
Season 6,Mahendra Ganesh Rajput,13,2
Season 6,Bajirao Hodage,6,1
Season 6,Tae Deok Eom,11,1
Season 6,Ajay Thakur,22,1
Season 6,Gangadhari Mallesh,6,1
Season 6,Nithesh B R,2,1
Season 6,Darshan Kadian,14,1
Season 6,Rakesh Narwal,6,1
Season 6,K. Prapanjan,22,1
Season 6,E Subash,2,1
Season 6,N. Shiva Ramakrishna,1,1
Season 6,Anand Surendra Tomar,5,1
Season 6,Tapas Pal,2,1
Season 6,Pankaj,1,1
Season 6,Ajay Kumar,13,1
Season 6,Sombir,4,1
Season 6,Athul MS,19,1
Season 6,Amit Kharb,6,1
Season 6,Vijay Kumar,4,1
Season 6,Vikram Kandola,1,1
Season 6,Kamal Singh,8,1
Season 6,Armaan,4,1
Season 6,Aashish Nagar,3,1
Season 5,Surender Nada,21,74
Season 5,PO Surjeet Singh,24,72
Season 5,Vishal Bhardwaj,22,68
Season 5,Jaideep,26,66
Season 5,Abozar Mohajermighani,24,63
Season 5,Girish Maruti Ernak,21,61
Season 5,Surender Singh,22,58
Season 5,Sunil Kumar,24,55
Season 5,Amit Hooda,22,55
Season 5,Fazel Atrachali,24,54
Season 5,Mahender Singh,22,52
Season 5,Ravinder Pahal,19,49
Season 5,Sandeep Narwal,21,49
Season 5,Ran Singh,23,49
Season 5,Manjeet Chhillar,15,46
Season 5,Nitesh Kumar,19,46
Season 5,Parvesh Bhainswal,24,44
Season 5,Darshan J.,20,39
Season 5,Jeeva Kumar,22,37
Season 5,Vishal Mane,26,36
Season 5,Mohit Chhillar,20,35
Season 5,Vijay,19,34
Season 5,Sombir,17,33
Season 5,Shrikant Tewthia,23,31
Season 5,Kuldeep Singh,16,30
Season 5,C. Arun,20,30
Season 5,Somvir Shekhar,22,29
Season 5,Sagar B Krishna,17,29
Season 5,Monu,19,29
Season 5,Ravi Kumar,23,28
Season 5,Jawahar Dagar,18,26
Season 5,Kuldeep Singh,20,25
Season 5,Sunil,18,24
Season 5,Rohit Rana,21,24
Season 5,Dharmaraj Cheralathan,18,24
Season 5,Vikash,19,24
Season 5,Sidharth,21,24
Season 5,Rakesh Singh Kumar,19,23
Season 5,Farhad Rahimi Milaghardan,18,22
Season 5,Satpal,10,22
Season 5,Sachin Shingade,26,21
Season 5,Anup Kumar,21,19
Season 5,Nilesh Shinde,15,19
Season 5,D. Pradap,16,19
Season 5,Nitin Rawal,21,19
Season 5,Ziaur Rahman,16,18
Season 5,Manish,23,17
Season 5,Hadi Oshtorak,16,17
Season 5,Rinku Narwal,13,17
Season 5,Viraj Vishnu Landge,19,16
Season 5,Pankaj,13,16
Season 5,Santhapanaselvam,10,15
Season 5,Sunil Siddhgavali,12,15
Season 5,Rajesh Narwal,16,15
Season 5,Rakesh Kumar,10,15
Season 5,Ashish Kumar,20,14
Season 5,Swapnil Dilip Shinde,13,13
Season 5,Deepak Niwas Hooda,24,13
Season 5,Sachin,24,13
Season 5,Vineet Sharma,18,13
Season 5,Neeraj Kumar,17,12
Season 5,Sunil Jaipal,13,12
Season 5,Wazir Singh,21,11
Season 5,Bajirao Hodage,12,11
Season 5,Rohit Kumar,22,11
Season 5,Monu Goyat,26,10
Season 5,Akshay Jadhav,10,10
Season 5,N. Renjith,11,10
Season 5,Yatharth Deshwal,6,10
Season 5,Shrikant Jadhav,19,10
Season 5,Ajay Thakur,22,9
Season 5,Rahul Chaudhari,22,9
Season 5,Joginder Singh Narwal,8,9
Season 5,Vinod Kumar,21,9
Season 5,Tapas Pal,5,9
Season 5,Nitin Tomar,20,9
Season 5,Rohit Baliyan,17,9
Season 5,Vinod Kumar,19,8
Season 5,Meraj Sheykh,20,8
Season 5,Santhosh B.S,9,8
Season 5,Kashiling Adake,20,7
Season 5,Gurvinder Singh,9,7
Season 5,Deepak Yadav,4,7
Season 5,Kuldeep Singh,5,6
Season 5,Vishal,5,6
Season 5,Rahul Kumar,10,6
Season 5,Manoj Dhull,9,6
Season 5,Sachin Kumar,9,6
Season 5,D. Suresh Kumar,5,6
Season 5,Mahendra Ganesh Rajput,17,5
Season 5,Nilesh Salunke,21,5
Season 5,Abolfazl Maghsodloumahali,19,5
Season 5,Hadi Tajik,9,5
Season 5,Mohsen Maghsoudloujafari,16,5
Season 5,Vikash,4,5
Season 5,Gurvinder Singh,5,5
Season 5,Vikas Kumar,14,4
Season 5,Darshan Kadian,16,4
Season 5,Sanket Chavan,7,4
Season 5,Preetam Chhillar,16,4
Season 5,Mahesh Goud,21,4
Season 5,Rishank Devadiga,21,4
Season 5,CPO Surjeet Singh,17,4
Season 5,Vikas Jaglan,13,3
Season 5,Ravi Dalal,5,3
Season 5,Jasvir Singh,15,3
Season 5,Jeeva Gopal,6,3
Season 5,Ashish Chhokar,5,3
Season 5,Tushar Patil,17,3
Season 5,Vijin Thangadurai,12,3
Season 5,Deepak Kumar Rathee,6,3
Season 5,Vijay Kumar,8,3
Season 5,Rohit Gulia,19,3
Season 5,Satish,10,3
Season 5,Muruthu M,3,3
Season 5,Rakshith,6,2
Season 5,Tushar Balaram Bhoir,8,2
Season 5,E Subash,2,2
Season 5,Elangeshwaran R,5,2
